,Div,Home Team,Away Team,Home Prob,Away Prob,Draw Prob,Fair Home Odd,Fair Draw Odd,Fair Away Odd
151,SC2,Stirling,Hamilton,0.39,0.45,0.16,2.57,6.09,2.24
156,SC3,Stranraer,Peterhead,0.48,0.34,0.18,2.1,5.54,2.91
154,SC3,Dumbarton,East Fife,0.52,0.34,0.14,1.93,7.0,2.96
153,SC3,Clyde,Forfar,0.4,0.41,0.18,2.48,5.41,2.42
152,SC3,Bonnyrigg Rose,Elgin,0.52,0.3,0.18,1.93,5.5,3.34
155,SC3,Spartans,Stenhousemuir,0.48,0.32,0.2,2.09,5.09,3.08
176,SP1,Almeria,Celta,0.38,0.44,0.17,2.6,5.86,2.25
175,SP1,Cadiz,Villarreal,0.37,0.46,0.17,2.68,5.99,2.17
42,SP1,Osasuna,Barcelona,0.3,0.54,0.16,3.29,6.37,1.85
40,SP1,Mallorca,Ath Bilbao,0.37,0.44,0.2,2.73,5.1,2.29
157,SP1,Sociedad,Granada,0.64,0.23,0.12,1.55,8.16,4.27
160,SP1,Betis,Vallecano,0.49,0.33,0.17,2.03,5.74,3.0
159,SP1,Alaves,Valencia,0.39,0.4,0.22,2.58,4.62,2.53
158,SP1,Real Madrid,Getafe,0.73,0.21,0.06,1.37,17.13,4.7
39,SP1,Girona,Las Palmas,0.58,0.3,0.12,1.73,8.42,3.28
41,SP1,Ath Madrid,Sevilla,0.57,0.27,0.16,1.75,6.37,3.69
45,T1,Ankaragucu,Fenerbahce,0.29,0.53,0.18,3.4,5.69,1.88
163,T1,Antalyaspor,Kayserispor,0.46,0.37,0.17,2.19,5.8,2.7
162,T1,Pendikspor,Alanyaspor,0.4,0.41,0.19,2.49,5.4,2.42
161,T1,Buyuksehyr,Konyaspor,0.47,0.37,0.16,2.15,6.22,2.67
46,T1,Hatayspor,Ad. Demirspor,0.37,0.49,0.14,2.69,7.02,2.06
177,T1,Kasimpasa,Trabzonspor,0.41,0.45,0.14,2.45,7.22,2.21
43,T1,Besiktas,Sivasspor,0.6,0.26,0.14,1.66,7.32,3.83
44,T1,Samsunspor,Istanbulspor,0.48,0.34,0.18,2.08,5.53,2.95
164,T1,Gaziantep,Galatasaray,0.23,0.63,0.14,4.27,7.21,1.59
178,T1,Rizespor,Karagumruk,0.47,0.38,0.14,2.11,6.95,2.61
